date,station_name,prcp
7/29/2022,KAPUSKASING CDA ON  ONT,0.36
7/29/2022,LEBANON MUNI,0.36
7/29/2022,JAFFREY ARPT SILVER,0.36
7/29/2022,ALTENRHEIN,0.36
7/29/2022,MT CARMEL MUNI,0.72
7/29/2022,EVANSVILLE REGIONAL AIRPORT,0.72
7/29/2022,NICOLET  QUE,0.72
7/29/2022,S BERNARDINO,0.72
7/29/2022,GHARAKHIL,0.97
7/29/2022,ABADEH,1.19
7/29/2022,MILLINOCKET MUNI,1.44
7/29/2022,CRNI VRH,1.44
7/29/2022,BOGUCANY,1.69
7/29/2022,DOHA,1.94
7/29/2022,BIRSA MUNDA,2.01
7/29/2022,KHAJURAHO,0.47
7/29/2022,KOLEZMA,0.47
7/29/2022,LONGUE POINTE DE MINGAN QUE,0.47
7/29/2022,IGNACIO AGRAMONTE INTL,0.47
7/29/2022,BACAU,0.47
7/29/2022,VARFU OMU,0.47
7/29/2022,FORT LIARD  NWT,0.47
7/29/2022,REYES,0.47
7/29/2022,ENAROTALI,0.47
7/29/2022,RENGAT/JAPURA ARPT,0.47
7/29/2022,FAIRFIELD MUNI,0.47
7/29/2022,FALSE PASS,0.47
7/29/2022,KAKE,0.47
7/29/2022,WUTAI SHAN,0.47
7/29/2022,ST. MICHAEL IM LUNGAU,0.47
7/29/2022,DEHRADUN,0.47
7/29/2022,CHANGLING,0.47
7/29/2022,MASSENA INTL/RCHARDS FD AP,0.47
7/29/2022,SATNA,0.47
7/29/2022,KAPUSKASING,0.47
7/29/2022,REBOLY,0.47
7/29/2022,BUFFALORA,0.47
7/29/2022,KIRISHI,0.94
7/29/2022,VICOSOPRANO,0.94
7/29/2022,SULTAN ABDUL AZIZ SHAH INTL,0.94
7/29/2022,MUKTESHWAR KUMAON,0.94
7/29/2022,AMRITSAR,0.94
7/29/2022,KRIMML,0.94
7/29/2022,ALFREDO VASQUEZ COBO,0.94
7/29/2022,LOS GARZONES,0.94
7/29/2022,OMSK,0.94
7/29/2022,DWELLINGUP,1.13
7/29/2022,NAGORNYJ,1.38
7/29/2022,NAMLEA/BURU ISLAND,1.38
7/29/2022,ARHARA,1.38
7/29/2022,DEDOUGOU,1.38
7/29/2022,CHAKLALA,2.64
7/29/2022,RAHADI USMAN,3.39
7/29/2022,SMYRNA,0.33
7/29/2022,ALTDORF,0.33
7/29/2022,GREATER MONCTON INTL,0.33
7/29/2022,ASPEN PITKIN CO SARD,0.33
7/29/2022,ANDEER,0.33
7/29/2022,MOUNT READ,0.33
7/29/2022,LIMON INTL,0.33
7/29/2022,LAC BENOIT  QUE,0.33
7/29/2022,PASSO DEL BERNINA,0.33
7/29/2022,KOTA KINABALU INTL,0.33
7/29/2022,LITANG,0.33
7/29/2022,WATERTOWN INTL AIRPORT,0.33
7/29/2022,EDWARD F KNAPP STATE ARPT,0.33
7/29/2022,SAMEDAM,0.33
7/29/2022,FORT MCMURRAY CS  ALTA,0.66
7/29/2022,SUGER LAND RGNL,0.66
7/29/2022,KOKONAO/TIMUKA,0.66
7/29/2022,ROLLA NATIONAL AIRPORT,0.91
7/29/2022,NONGBUALAMPHU,0.91
7/29/2022,IRIOMOTEJIMA,0.91
7/29/2022,PLATTSBURGH INTL,0.91
7/29/2022,SHIMLA,0.91
7/29/2022,ZIMNEGORSKIJ MAJAK,0.91
7/29/2022,MEERUT,0.91
7/29/2022,DESCHAMBAULT CS  QUE,0.91
7/29/2022,LIBERAL MUNI,0.91
7/29/2022,KIJANG,0.91
7/29/2022,TANGERANG/BUDIARTO ARPT,0.91
7/29/2022,NEWPORT MUNI,1.07
7/29/2022,OZERNOY (MYS)                ,1.07
7/29/2022,SITKA ROCKY GUTIERREZ ARPT,1.32
7/29/2022,TAI SHAN,1.32
7/29/2022,CHANGDE,1.32
7/29/2022,BUBUNG,1.57
7/29/2022,SAM-NEUA,1.57
7/29/2022,SULTAN THAHA,1.57
7/29/2022,KUCHING INTL,2.02
7/29/2022,FOCSANI,2.52
7/29/2022,RALEIGH-DURHAM INTERNATIONAL,0.11
7/29/2022,YEAGER AIRPORT,0.11
7/29/2022,CALAFAT,0.11
7/29/2022,RED EARTH  ALTA,0.11
7/29/2022,LYONS RICE CO MUNI,0.11
7/29/2022,SPRAGUE,0.11
7/29/2022,MARSHALL TOWN MUNI,0.11
7/29/2022,MASAMBA/ANDI JEMMA,0.11
7/29/2022,RCK SRINGS-SWETWTER CO APT,0.11
7/29/2022,HAVRE ST PIERRE,0.11
7/29/2022,CATACAMAS,0.11
7/29/2022,ST.STEPHEN (AUT)             ,0.11
7/29/2022,SUMMERSIDE,0.11
7/29/2022,WATTAY INTL,0.11
7/29/2022,ROBINSON MUNI,0.11
7/29/2022,NOGALES INTL,0.11
7/29/2022,ROCHA,0.11
7/29/2022,OKMULGEE RGNL,0.11
7/29/2022,LINCANG,0.11
7/29/2022,NOSHAHR,0.11
7/29/2022,INUVIK CLIMATE  NWT,0.11
7/29/2022,PORT MENIER  QUE,0.11
7/29/2022,AUBURN OPELIKA ROBE,0.11
7/29/2022,HUDSON RIVER RESERVE,0.11
7/29/2022,BAINGOIN,0.11
7/29/2022,AMARILLO RICK HUSBAND INTL AI,0.11
7/29/2022,BABULSAR,0.11
7/29/2022,ZERMATT,0.11
7/29/2022,CAPE NATURALISTE,0.11
7/29/2022,KEJIMKUJIK 1  NS             ,0.22
7/29/2022,PENSACOLA REGIONAL AIRPORT,0.22
7/29/2022,JIULONG,0.22
7/29/2022,SHIONOMISAKI,0.22
7/29/2022,LOUIS ARMSTRONG NEW ORLEANS I,0.22
7/29/2022,SHANGZHI,0.22
7/29/2022,OTTAWA CDA RCS  ONT,0.22
7/29/2022,DODGE CITY REGIONAL AIRPORT,0.22
7/29/2022,CEDAR CITY REGIONAL ARPT,0.22
7/29/2022,NUEVA HESPERIDES INTL,0.22
7/29/2022,RUENENBERG,0.22
7/29/2022,VYTEGRA,0.22
7/29/2022,ROBERVAL A,0.22
7/29/2022,APUKA,0.22
7/29/2022,NORTH BAY,0.22
7/29/2022,NEW IBERIA/ACADIANA,0.22
7/29/2022,SINGAPORE CHANGI INTL,0.22
7/29/2022,JULIET (PEETZ)               ,0.22
7/29/2022,CHAUTAUQUA CO DUNKIR,0.22
7/29/2022,GARDEN ISLAND HSF,0.44
7/29/2022,LAO CAI,0.44
7/29/2022,CAMP DAVID,0.44
7/29/2022,CLARK INTL,0.44
7/29/2022,JIANGCHENG,0.44
7/29/2022,SANGSTER INTL,0.44
7/29/2022,DENGQEN,0.63
7/29/2022,ONEGA,0.63
7/29/2022,BARAOLT,0.63
7/29/2022,CALIMANI RETITIS,0.63
7/29/2022,YANGDOK,0.63
7/29/2022,LANDECK,0.63
7/29/2022,JAGDALPUR,0.63
7/29/2022,BRATSK,0.63
7/29/2022,LONGJIA,0.88
7/29/2022,BLAIRSVILLE AIRPORT,0.88
7/29/2022,BARNES MUNI,1.01
7/29/2022,DAGUPAN,1.26
7/29/2022,AMAHAI,7.05
7/29/2022,MATAGAMI,0.15
7/29/2022,CARRASCO INTL,0.15
7/29/2022,ALOFI,0.15
7/29/2022,SVRATOUCH,0.15
7/29/2022,SAN JUAN INTL ARPT,0.15
7/29/2022,ORANGE CO,0.15
7/29/2022,SAWYER CO,0.15
7/29/2022,SHAWINIGAN CS  QUE,0.15
7/29/2022,MATAGAMI A,0.15
7/29/2022,BALTIMORE-WASHINGTON INTL AIR,0.15
7/29/2022,BALER RADAR,0.15
7/29/2022,STARAYA RUSSA,0.15
7/29/2022,SILVIO PETTIROSSI INTL,0.15
7/29/2022,BISCHOFSZELL,0.15
7/29/2022,L'ACADIE  QUE,0.15
7/29/2022,WEST FREUGH (AUT)            ,0.15
7/29/2022,ILLESHEIM AHP,0.15
7/29/2022,BLATTEN-LOETSCHENTAL,0.15
7/29/2022,GJOA HAVEN,0.15
7/29/2022,SANTA FE CO. MUNI,0.15
7/29/2022,FORT HUACHUCA,0.15
7/29/2022,KIRKLAND LAKE CS  ONT,0.15
7/29/2022,HICKORY REGIONAL AIRPORT,0.15
7/29/2022,COLUMBIA REGIONAL AIRPORT,0.15
7/29/2022,QUEBEC/JEAN LESAGE INTL  QUE,0.15
7/29/2022,SHEARWATER JETTY,0.15
7/29/2022,ORAVITA,0.3
7/29/2022,KUANDIAN,0.3
7/29/2022,SHAHRE  KORD,0.3
7/29/2022,SOG XIAN,0.3
7/29/2022,OAXACA  OAX.                 ,0.3
7/29/2022,WINDOW ROCK,0.3
7/29/2022,SPADEADAM NO2                ,0.3
7/29/2022,ISHIGAKI,0.3
7/29/2022,DEADHORSE AIRPORT,0.3
7/29/2022,STATESVILLE RGNL,0.3
7/29/2022,UNSKIJ MAJAK,0.3
7/29/2022,PARRSBORO,0.6
7/29/2022,MUNDA,0.85
7/29/2022,MEZEN'                       ,0.85
7/29/2022,MAHA ILLUPPALLAMA,1.2
7/29/2022,TAKUA PA,1.2
7/29/2022,CROSSVILLE MEMORIAL -WHITSON,1.45
7/29/2022,VRANJE,0.41
7/29/2022,VILLAHERMOSA  TAB.           ,0.41
7/29/2022,JOHNSON CO. INDUSTR,0.41
7/29/2022,HOKITIKA AERODROME,0.41
7/29/2022,SWANBOURNE,0.41
7/29/2022,CHA IAN,0.41
7/29/2022,CERRO LARGO,0.41
7/29/2022,TIJUANA RIVER RESERVE,0.41
7/29/2022,ANDA,0.57
7/29/2022,PALTINIS SIBIU,0.57
7/29/2022,PETERSBURG,0.57
7/29/2022,MCTAVISH  QUE,0.57
7/29/2022,VALTIMO KK,0.57
7/29/2022,MEI XIAN,0.57
7/29/2022,MALAY FALLS,0.57
7/29/2022,WANDERING,0.57
7/29/2022,AUGUSTA STATE AIRPORT,0.82
7/29/2022,LANGKAWI INTL,0.82
7/29/2022,SONGKHLA,0.82
7/29/2022,GANGTOK,1.14
7/29/2022,CEKUNDA,1.14
7/29/2022,DOUALA,1.14
7/29/2022,ARZAMAS,1.14
7/29/2022,SHILLONG,1.14
7/29/2022,POTTSTOWN LIMERICK,1.14
7/29/2022,PARAKOU,2.91
7/29/2022,LAMBERT-ST LOUIS INTERNATIONA,0.27
7/29/2022,WARCOP RANGE,0.27
7/29/2022,PARAPARAUMU AWS,0.27
7/29/2022,PORTLAND INTERNATIONAL JETPOR,0.27
7/29/2022,PIOTTA,0.27
7/29/2022,MEMPHIS INTERNATIONAL AIRPORT,0.27
7/29/2022,ST ANICET 1  QUE             ,0.27
7/29/2022,SALBRY-OCN CTY WICO RGNL AP,0.27
7/29/2022,PUNTA DEL ESTE,0.27
7/29/2022,CHESAPEAKE RGNL,0.54
7/29/2022,SAWI AGROMET,0.54
7/29/2022,KOUCHIBOUGUAC CS,0.54
7/29/2022,FRANS KAISIEPO,0.54
7/29/2022,ADELBODEN,0.54
7/29/2022,ANEITYUM,0.79
7/29/2022,TOHMAJARVI KEMIE,0.79
7/29/2022,NOBEOKA,0.79
7/29/2022,OUDOMXAY,0.79
7/29/2022,BARNOVA,0.79
7/29/2022,OBLUC'E,0.79
7/29/2022,PASSO DEL BRENNERO,0.79
7/29/2022,ALPINZENTRUM RUDOLFSHUETTE,0.79
7/29/2022,SCHMITTENHOEHE,0.79
7/29/2022,CULMAN/NERIUGRI,0.79
7/29/2022,STRIGINO,0.79
7/29/2022,RICHARD LLOYD JONES,1.08
7/29/2022,ZHANGWU,1.33
7/29/2022,COCOS KEELING ISLAND,1.83
7/29/2022,ORIZABA  VER.                ,2.04
7/29/2022,MONTROSE RGNL,0.19
7/29/2022,GRIFFISS AIRPARK,0.19
7/29/2022,FUNDY PARK CS,0.19
7/29/2022,NAN AGROMET,0.19
7/29/2022,HOERNLI,0.19
7/29/2022,NORTHEAST PHILADELPH,0.19
7/29/2022,GENGMA,0.19
7/29/2022,FUNAFUTI INTL ARPT,0.19
7/29/2022,PRICE CO,0.19
7/29/2022,PERRYTON OCHILTREE,0.19
7/29/2022,ASHLAND RGNL,0.19
7/29/2022,NORMANDIN  QUE,0.19
7/29/2022,FLUEHLI,0.19
7/29/2022,WEBSTER NAVAL OUTLYING FIELD,0.19
7/29/2022,OWENSBORO DAVIESS C,0.19
7/29/2022,PALACIOS MUNICIPAL AIRPORT,0.19
7/29/2022,GUANGNAN,0.19
7/29/2022,BEAUPORT  QUE,0.19
7/29/2022,SUNWU,0.19
7/29/2022,WYNAU,0.19
7/29/2022,MARSHALL ISLANDS INTERNATIONA,0.19
7/29/2022,EBNAT-KAPPEL,0.19
7/29/2022,DEASE LAKE (AUT)             ,0.38
7/29/2022,STANLY CO,0.38
7/29/2022,MUSKOGEE/DAVIS FLD,0.38
7/29/2022,PATTIMURA,0.51
7/29/2022,RAZNAVOLOK,0.51
7/29/2022,NICKERIE,0.51
7/29/2022,GINGIN AERO,0.51
7/29/2022,KALWANG,0.51
7/29/2022,CA MAU,0.51
7/29/2022,SUPURU DE JOS,0.51
7/29/2022,BIRNI-N'KONNI,0.51
7/29/2022,MORARESTI,0.51
7/29/2022,MGTN RGNL-W L B HART FD AP,0.51
7/29/2022,ADIRONDACK RGNL,0.51
7/29/2022,BELOZERSK,0.51
7/29/2022,PATNA,0.51
7/29/2022,SINUIJU,0.51
7/29/2022,LEHIGH VALLEY INTERNATIONAL A,0.51
7/29/2022,ROBIEI,0.76
7/29/2022,NAN,0.76
7/29/2022,HINATUAN,0.76
7/29/2022,HAMPTON ROADS EXECUTIVE AIRPO,0.76
7/29/2022,TIMMINS VICTOR POWER A,0.76
7/29/2022,KHUZDAR,0.76
7/29/2022,GARDEN CITY RGNL,1.02
7/29/2022,SONNBLICK - AUTOM.           ,1.02
7/29/2022,JINZHOU,1.02
7/29/2022,YANGON INTL,1.02
7/29/2022,ULRICHEN,1.02
7/29/2022,MARIANNA MUNI,1.02
7/29/2022,BOWMAN FLD,1.02
7/29/2022,BURLINGTON INTERNATIONAL AIRP,1.02
7/29/2022,TARO ISLAND,1.27
7/29/2022,YANZHOU,1.52
7/29/2022,L'ASSOMPTION  QUE,1.52
7/29/2022,OWEN ROBERTS AIRPOR,2.17
7/29/2022,YAKUSHIMA,2.17
7/29/2022,PERTH INTL,0.49
7/29/2022,KISLOKAN,0.49
7/29/2022,SOCORRO MUNI,0.49
7/29/2022,BOONE COUNTY AIRPORT,0.49
7/29/2022,FELKER AAF,0.49
7/29/2022,READING RGNL CARL A,0.49
7/29/2022,HAMILTON AWS,0.49
7/29/2022,SAENTIS,0.49
7/29/2022,SRAKAEW,0.73
7/29/2022,SCHUEPFHEIM,0.98
7/29/2022,TEHRI,0.98
7/29/2022,ILOMANTSI POTSONVAARA,0.98
7/29/2022,NIAGARA FALLS INTL,0.98
7/29/2022,JABALPUR,0.98
7/29/2022,THETFORD MINES RCS,0.98
7/29/2022,MIYAZAKI,0.98
7/29/2022,WHITING FIELD NAVAL AIR STATI,0.98
7/29/2022,MOUNT VERNON,0.98
7/29/2022,CULIACAN INTL,1.46
7/29/2022,SHENYANG,1.46
7/29/2022,HAIYANG,1.46
7/29/2022,TULSA INTERNATIONAL AIRPORT,1.71
7/29/2022,TANEGASHIMA,2.05
7/29/2022,JONESBORO MUNI,3.3
7/29/2022,EL CALAFATE AERO,0.35
7/29/2022,BANGALORE/HINDUSTAN AIRPORT,0.35
7/29/2022,MOLDOVA VECHE,0.35
7/29/2022,STILLWATER RGNL,0.35
7/29/2022,RENDANI,0.35
7/29/2022,KALEVALA,0.35
7/29/2022,GORODEC,0.35
7/29/2022,TANGUJ,0.35
7/29/2022,YARMOUTH,0.35
7/29/2022,LA POCATIERE  QUE,0.35
7/29/2022,LOIKAW,0.35
7/29/2022,MAJURO ATOLL WEATHER CENTER,0.35
7/29/2022,PATSCHERKOFEL,0.35
7/29/2022,BARTLESVILLE MUNI,0.35
7/29/2022,HAWERA AWS,0.35
7/29/2022,NEGRESTI,0.35
7/29/2022,NW PANAMA CITY INTL,0.35
7/29/2022,TROUT LAKE  NWT,0.35
7/29/2022,MADAUN,0.35
7/29/2022,BANIHAL,0.35
7/29/2022,KAZACHINSK,0.35
7/29/2022,SANTIAGO PEREZ,0.35
7/29/2022,TALAGI,0.35
7/29/2022,DZERZHINSKOE,0.35
7/29/2022,FAISALABAD,0.35
7/29/2022,PEARCE,0.35
7/29/2022,BUCIN,0.35
7/29/2022,SALEM,0.35
7/29/2022,TIAN-SHAN'                   ,0.35
7/29/2022,SHENKURSK,0.35
7/29/2022,BRASOV-GHIMBAV,0.35
7/29/2022,KRASNYY KHOLM,0.35
7/29/2022,ZHIJIANG,0.35
7/29/2022,GRAFENWOHR AAF,0.35
7/29/2022,SARANSK AIRPORT,0.35
7/29/2022,MEIKTILA,0.35
7/29/2022,MUEHLEBERG,0.35
7/29/2022,CHANGBEI INTL,0.7
7/29/2022,SKAGWAY AIRPORT,0.7
7/29/2022,LOCARNO - MAGADINO,0.7
7/29/2022,VIRGINIA HIGHLANDS,0.7
7/29/2022,JIUXIAN SHAN,0.7
7/29/2022,TRI-CITIES REGIONAL TN/VA AIR,0.95
7/29/2022,GLASGOW MUNI,0.95
7/29/2022,LAS VEGAS MUNICIPAL ARPT,1.15
7/29/2022,LOFERER ALM,1.65
7/29/2022,YAZD SHAHID SADOOGHI,1.9
7/29/2022,SIMAO,1.9
7/29/2022,NEW ORLEANS NAS,2.18
7/29/2022,WEST MEMPHIS MUNI,0.23
7/29/2022,EVIONNAZ,0.23
7/29/2022,SEARCY MUNI,0.23
7/29/2022,LITTLE ROCK AFB,0.23
7/29/2022,ROGERS MUNI CARTER F,0.23
7/29/2022,BANGKOK METROPOLIS,0.23
7/29/2022,NEW CASTLE COUNTY AIRPORT,0.23
7/29/2022,LAURENCE G HANSCOM,0.23
7/29/2022,BAY CITY MUNI,0.23
7/29/2022,MC CONNELL AFB,0.23
